PondID,Detect1,Detect2,Snowday1,Snowday2,Volume1,Volume2
144,0,0,41,61,0.438,0.75
146,0,,41,,0.5,
147,0,0,33,57,0.75,0.75
148,0,,32,,0.75,
149,1,0,44,65,0.75,0.75
150,0,0,44,65,0.75,0.75
151,0,0,44,65,0.75,0.5
152,0,0,37,58,0.75,0.438
153,1,,38,,0.75,
154,0,,37,,0.75,
156,1,0,38,58,0.75,0.75
158,0,0,32,57,0.75,0.5
159,1,1,37,57,0.5,0.75
160,1,1,37,58,0.75,0.75
161,1,1,37,57,0.75,0.5
162,1,1,33,57,0.25,0.75
163,0,0,38,59,0.25,0.625
166,0,0,52,68,0.563,0.75
167,1,1,36,58,0.75,0.75
168,0,0,31,54,0.75,0.75
170,0,0,44,62,0.563,0.5
171,0,0,41,62,0.75,0.75
172,1,0,38,59,0.312,0.375
173,,1,,54,,0.625
174,0,0,31,54,0.75,0.75
175,0,0,47,67,0.75,0.75
177,0,0,31,54,0.75,0.75
178,0,0,31,57,0.75,0.5
180,0,,46,,0.75,
181,0,,43,,0.375,
182,0,0,31,54,0.75,0.75
184,0,0,52,68,0.625,0.5
185,0,,38,,0.75,
187,1,,30,,0.75,
188,1,1,46,62,0.75,0.5
189,1,,40,,0.75,
190,0,,30,,0.531,
193,0,0,40,61,0.313,0.75
194,1,,40,,0.75,
195,0,1,46,62,0.375,0.75
196,0,0,52,68,0.5,0.5
197,0,0,30,53,0.75,0.75
198,1,,30,,0.75,
199,0,0,46,65,0.625,0.375
201,0,0,53,68,0.75,0.75
202,0,0,53,68,0.75,0.75
203,0,0,40,61,0.75,0.75
204,1,,40,,0.75,
205,1,,33,,0.75,
206,0,0,46,65,0.563,0.75
207,0,0,53,68,0.75,0.5
208,0,0,53,68,0.5,0.75
